#	lambda         S/N    tar_flux   tot_noise    sc_noise   sys_noise   readnoise  dark_noise   sky_noise     mockgal
#	nm   1e-13erg/s/cm2/nm    #e          #e          #e          #e          #e          #e      1e-13erg/s/cm2/nm
     387.042   2.925E-02   7.436E-04    11.27626     0.57429    11.26162     9.79796     5.53173     0.47341    -0.00391
     387.218   2.908E-02   7.393E-04    11.27617     0.57267    11.26162     9.79796     5.53173     0.47327    -0.03555
     387.393   2.861E-02   7.271E-04    11.27592     0.56795    11.26161     9.79796     5.53173     0.47314    -0.06924
     387.569   2.814E-02   7.151E-04    11.27568     0.56326    11.26160     9.79796     5.53173     0.47300    -0.00158
     387.744   2.785E-02   7.076E-04    11.27553     0.56035    11.26160     9.79796     5.53173     0.47284    -0.00622
     387.920   2.779E-02   7.062E-04    11.27550     0.55982    11.26159     9.79796     5.53173     0.47269    -0.00931
     388.096   2.783E-02   7.072E-04    11.27551     0.56021    11.26159     9.79796     5.53173     0.47255    -0.04348
     388.271   2.760E-02   7.011E-04    11.27539     0.55781    11.26158     9.79796     5.53173     0.47242     0.00025
     388.447   2.705E-02   6.871E-04    11.27511     0.55226    11.26157     9.79796     5.53173     0.47228    -0.00478
     388.622   2.661E-02   6.759E-04    11.27488     0.54775    11.26157     9.79796     5.53173     0.47214    -0.00575
     388.798   2.653E-02   6.738E-04    11.27484     0.54692    11.26156     9.79796     5.53173     0.47201     0.02146
     388.973   2.667E-02   6.773E-04    11.27490     0.54839    11.26156     9.79796     5.53173     0.47187    -0.01588
     389.149   2.673E-02   6.789E-04    11.27493     0.54903    11.26155     9.79796     5.53173     0.47173     0.01564
     389.324   2.655E-02   6.740E-04    11.27483     0.54708    11.26154     9.79796     5.53173     0.47158     0.00598
     389.500   2.627E-02   6.670E-04    11.27468     0.54428    11.26154     9.79796     5.53173     0.47142    -0.00436
     389.676   2.609E-02   6.624E-04    11.27459     0.54239    11.26153     9.79796     5.53173     0.47129    -0.03727
     389.851   2.580E-02   6.548E-04    11.27443     0.53932    11.26153     9.79796     5.53173     0.47115     0.04777
     390.027   2.533E-02   6.429E-04    11.27419     0.53440    11.26152     9.79796     5.53173     0.47100     0.01535
     390.202   2.516E-02   6.388E-04    11.27410     0.53257    11.26151     9.79796     5.53173     0.47076     0.00239
     390.378   2.559E-02   6.500E-04    11.27430     0.53714    11.26150     9.79796     5.53173     0.47053    -0.01718
     390.553   2.619E-02   6.654E-04    11.27459     0.54340    11.26149     9.79796     5.53173     0.47030    -0.00495
     390.729   2.636E-02   6.700E-04    11.27467     0.54515    11.26148     9.79796     5.53173     0.47009    -0.04798
     390.904   2.615E-02   6.648E-04    11.27455     0.54297    11.26147     9.79796     5.53173     0.46986    -0.00775
     391.080   2.598E-02   6.607E-04    11.27446     0.54117    11.26146     9.79796     5.53173     0.46962    -0.00212
     391.256   2.599E-02   6.612E-04    11.27445     0.54129    11.26145     9.79796     5.53173     0.46939     0.01090
     391.431   2.596E-02   6.607E-04    11.27443     0.54101    11.26144     9.79796     5.53173     0.46915     0.01116
     391.607   2.568E-02   6.537E-04    11.27428     0.53803    11.26143     9.79796     5.53173     0.46891     0.03923
     391.782   2.514E-02   6.402E-04    11.27400     0.53234    11.26142     9.79796     5.53173     0.46868    -0.05198
     391.958   2.436E-02   6.206E-04    11.27360     0.52405    11.26141     9.79796     5.53173     0.46844     0.03127
     392.133   2.326E-02   5.928E-04    11.27304     0.51211    11.26140     9.79796     5.53173     0.46821     0.05226
     392.309   2.186E-02   5.572E-04    11.27233     0.49639    11.26139     9.79796     5.53173     0.46797     0.02078
     392.484   2.026E-02   5.165E-04    11.27152     0.47785    11.26138     9.79796     5.53173     0.46773     0.03687
     392.660   1.857E-02   4.735E-04    11.27066     0.45743    11.26137     9.79796     5.53173     0.46750    -0.00317
